topic,topic_desc,topic_desc_basic,knowledge_class,knowledge_class_basic,aliases,tags
Emperor Anzai,,"Emperor Anzai was the former ruler of the United Cities before Emperor Tengu. He died in battle during the Red Rebellion, which many believe was secretly orchestrated by Longen of the Traders Guild, possibly with help from the Nobles. His reign and death are mostly remembered through whispers and an unsigned letter called Puppet.",,,"Emperor Anzai, Emperor_Anzai",United Cities
Emperor Tengu,,"Emperor Tengu is the current leader of the United Cities, ruling from his throne room in Heft alongside his diplomat Koin and a large retinue of elite guards. He is known for being impulsive and lacking common sense compared to his predecessor, and maintains power through fear with his Inner Circle of four cruel nobles. Despite his fearsome reputation and stories of his mysterious Vault where enemies are sent, Tengu is only an average fighter who relies heavily on his bodyguards for protection.",,,"Emperor Tengu, Emperor_Tengu","Bosses, Characters, Leaders, Nobles, Unique, United Cities"
Endin,,"Endin is a ruined city in Bast controlled by the United Cities. It was largely destroyed by the Holy Army along with the cities of Bast and Drin. The only intact building is a storm house inhabited by harmless vagrants and exiles, with no Samurai guards present.",,,Endin,"Locations, United Cities"
Esata the Stone Golem,,"Esata the Stone Golem is the current leader of the Shek Kingdom, ruling from Admag alongside her daughter Seto and her advisor Bayan. She earned her battle name as one of The Five Invincibles and took power after defeating the previous emperor Shager in combat when she opposed his plan for a suicidal assault on The Holy Nation. Unlike past leaders, Esata seeks to balance the Shek's warrior traditions with strategic thinking to prevent her people from fighting themselves into extinction, though this pragmatic approach has divided her battle-hungry citizens.",,,"Esata the Stone Golem, Esata_the_Stone_Golem","Bosses, Bounty, Characters, Leaders, Shek Kingdom, Superbosses, Unique"
Exile Plank,,"The Exile Plank is a hefty sword once taken from a defeated Shek Guardian. Without their name, status, or prized weapons, the shamed ones walk the land forever as lost ghosts. It is a type of heavy plank weapon that must be carried in a backpack or equipped, as it does not fit in standard inventories.",,,"Exile Plank, Exile_Plank","Heavy Weapon, Weapons"
Eyegore,,"Captain-General Eyegore is a hiveless Southern Soldier Drone who leads the United Cities army. He is considered the Empire's ultimate solution to serious problems and will personally lead a final assault against those who have severely angered the United Cities. He wears samurai armor and wields a desert sabre, commanding squads of samurai warriors in his raids.",,,Eyegore,"Bosses, Characters, Hivers, Raiders, Samurai, Superbosses, Traders Guild, Unique, United Cities"
Eyesocket,,"Eyesocket is a slave camp located on a small hill in the Stormgap Coast region, run by Slave Master Grande. It supplies nearby settlements and serves as a place where slaves are bought and sold. If Slave Master Grande is killed or taken, the camp falls into ruin and becomes abandoned.",,,Eyesocket,"Article stubs, Locations"
Eyesocket (Alpha),,"Eyesocket was once a town controlled by the Holy Empire, located in the central regions near Telbooze, Black Scratch, and Skinner's Roam. In later times, the town changed allegiance and became part of the United Cities instead.",,,"Eyesocket (Alpha), Eyesocket_(Alpha), Eyesocket Alpha",Removed Content
Falling Sun,,"The Falling Sun is a ridiculously unwieldy heavy weapon sometimes used by Skeletons, widely known as a 'Suicide Blade' because it often gets its users killed. It requires both dexterity and strength to wield properly, and is the lightest of the heavy weapons. An experienced user is someone to be feared, as the weapon can deal devastating damage in a single strike.",,,"Falling Sun, Falling_Sun","Heavy Weapon, Weapons"
Finch,,Finch is a Hive Prince who leads the Machinists faction and resides in World's End. Finch refers to Iyo as his assistant and directs visitors to speak with them about historical matters.,,,Finch,"Characters, Hivers, Unique"
Fishman Island,,"Fishman Island is a small zone south of the Bonefields, accessible by a bridge so travelers do not need to swim. The area experiences mad rain with occasional acid rain. It contains ancient ruins and nests but has no permanent settlements or outposts.",,,"Fishman Island, Fishman_Island",Zones
Fishmen,,"Fishmen, also called Gurglers, are fish-like creatures living on Fishman Island south of Catun. They infest the ruins of Fish Isle and are led by King Gurgler, who dwells in the Island Lab. Though individually weak, they attack in large groups and capture injured victims to eat them alive at their nests.",,,Fishmen,"Factions, Fishmen"
The Five Invincibles,,"The Five Invincibles are the greatest warriors of the Shek Kingdom, found at their headquarters in Admag. They lead the most important military assaults for the Shek and will join Kral's Chosen if Esata the Stone Golem is killed or imprisoned. They wear specialist-grade armor and carry weapons made by Skeleton Smiths.",,,"The Five Invincibles, The_Five_Invincibles",Characters
Flat Topper,,"The Flat Topper was a hacker-class weapon that mixed cutting and blunt damage, favored by thugs for its reliance on brute force over finesse. It was removed from the world when the map changed, with longswords taking its place. Though no longer found, some say the design still exists somewhere in forgotten records.",,,"Flat Topper, Flat_Topper","Removed Content, Retired Items"
Flats Lagoon,,"Flats Lagoon is a relatively safe zone in the southeastern lands, bordered by Bonefields, Shem, Venge, Stobe's Gamble, and Greyshelf. A land bridge south of the town allows travelers to reach Mourn without swimming.",,,"Flats Lagoon (Zone), Flats_Lagoon_(Zone), Flats Lagoon Zone",Zones
Flats Lagoon Bar,,"Flats Lagoon Bar is a drinking establishment located in Flats Lagoon. It serves as the regular hangout of Chad, a well-known tech hunter in the region.",,,"Flats Lagoon Bar, Flats_Lagoon_Bar","Town Residents, Vendors"
Flatskins,,"Flatskin is a derogatory term used by Shek to describe humans, referring to their lack of horns and the rough bone plates that cover Shek skin. The term reflects the importance of horns in Shek culture and highlights the physical differences between the two races.",,,Flatskins,Lore
Flesh Cleaver,,"The Flesh Cleaver is a crude hacking weapon designed to maim rather than cause bleeding, favored by Cannibals and Shrieking Bandits. Its blunt design makes it effective at cutting and stunning victims through sheer brutality. The weapon is particularly nasty against human targets but less effective against animals.",,,"Flesh Cleaver, Flesh_Cleaver","Hacker, Weapons"
Floodlands,,"The Floodlands is a gloomy, flooded swamp caught in endless rain, littered with ancient industrial ruins from a time when machines built more machines in staggering quantities. The land is dead and barren, exploited long ago to feed an insatiable hunger. Only Iron Spiders and Skeletons roam these desolate ruins now.",,,Floodlands,Zones
Flotsam Village,,"Flotsam Village is a settlement in the Hidden Forest led by Moll and protected by the Flotsam Ninjas. It shelters refugees and deserters from the Holy Nation, though many residents still worship Okran and distrust skeletons. If Moll dies or is imprisoned, the village falls to Cannibals and becomes overrun.",,,"Flotsam Village, Flotsam_Village","Article stubs, Locations"
Flying Bull,,"Flying Bull, also called Ida, is a massive Shek warrior who leads Kral's Chosen from his rebel outpost at New Kralia. He was a devoted follower of the former king Shager and rejected the Stone Golem's leadership, calling her a coward for making peace with the Holy Nation instead of fighting to the end. He carries a unique axe gifted by Shager and is considered an extremist and traitor by the current Shek Kingdom.",,,"Flying Bull, Flying_Bull","Bosses, Bounty, Characters, Unique"
Fog Deathyard,,"Fog Deathyards are camps that appear in the Fog Islands, marked by torch posts, bone-decorated stakes, and prisoner poles. Fogmen bring unconscious victims to these places to worship and devour them, often attracting Fog Princes to feed on captives. If certain faction leaders like The Queen or Phoenix are killed, these deathyards can spread into their former territories.",,,"Fog Deathyard, Fog_Deathyard","Fogmen, Spawning Locations"
Fog Islands,,"The Fog Islands are valleys shrouded in perpetual low fog, littered with massive metal scraps from a forgotten civilization. Savage cannibalistic Fogmen, believed to be Hivers who lost their Queen's influence long ago, hunt through the mist to capture and devour travelers. The free city of Mongrel stands as the only safe refuge in this dangerous land, never falling to the Fogmen despite their constant threat.",,,"Fog Islands, Fog_Islands",Zones
Fogmen,,"Fogmen are savage Hivers who inhabit the Fog Islands, having lost their minds to some kind of parasite that controls them from within. They attack anyone who enters their territory, dragging victims back to camps where they are tied to poles and eaten alive by Fog Princes or Fog Heavies. Though individually weak fighters, they travel in large groups and can overwhelm even skilled warriors through sheer numbers.",,,Fogmen,"Factions, Fogmen, Hivers"
Foodcube,,"Foodcubes are dense, nutritious blocks made from a mixture of bread and greenfruit. They are disappointing to eat but practical for travel rations. They can be cooked or purchased from traders throughout the land.",,,Foodcube,"Items, Nutrition"
Forbidden Isle,,"The Forbidden Isle is a small, hostile landmass east of Stormgap Coast, overrun by legions of Iron Spiders emerging from an ancient Spider Factory at its center. Aggressive Tech Hunters also roam the isle, seeking lost secrets amid the ruins. Frequent acid rain blankets the island, making exploration extremely dangerous without proper protection.",,,"Forbidden Isle, Forbidden_Isle",Zones
Forbidden Sympathy,,"Forbidden Sympathy is an illegal book written by an unknown author in the Holy Nation. It argues that all people, regardless of race or status, deserve compassion and that spiritual teachings should progress alongside knowledge and technology. Possession of this book is forbidden in Holy Nation lands and will result in arrest.",,,"Forbidden Sympathy, Forbidden_Sympathy",Books
Foreign Sabre,,"The Foreign Sabre is an exotic blade believed to have come from the Black Desert. Despite being mocked in bars and carrying a social stigma, it is actually a defensive masterpiece that should not be underestimated. The finest example of this weapon is carried by the Bugmaster.",,,"Foreign Sabre, Foreign_Sabre","Sabre, Weapons"
Fort Mirage,,"Fort Mirage is a small outpost in The Great Desert controlled by Lord Mirage and garrisoned by City Heroes of the United Heroes League. Visitors are attacked on sight, and the fort is defended by mounted crossbow turrets. It serves as a minor stronghold for the faction in the desert wastes.",,,"Fort Mirage, Fort_Mirage","Locations, United Heroes League"
Fort Simion,,"Fort Simion is an outpost in Sinkuun controlled by the Rebel Farmers, where their leader Boss Simion resides. The settlement is defended by gate guards and garrisons, and roaming squads may attack outsiders who aren't allied with them. In earlier times, Fort Simion was a major town under Holy Empire control.",,,"Fort Simion, Fort_Simion",Locations
Fragment Axe,,"The Fragment Axe is a massive heavy weapon built like a sword, favored by the Shek for its impressive size and brutal power. It is extremely heavy and difficult to wield, requiring great strength to swing effectively. These axes are commonly found in Shek Kingdom shops, and a legendary Meitou quality can be taken from Esata the Stone Golem or Mukai the Mountain.",,,"Fragment Axe, Fragment_Axe","Heavy Weapon, Weapons"
The Free City,,The Free City is a settlement in Stobe's Gamble controlled by the Anti-Slavers when Tinfist lives and certain other leaders have fallen. It serves as a small waystation with few inhabitants and basic shops. The settlement appears to be a staging point for Anti-Slaver expansion into the desert regions.,,,"The Free City, The_Free_City",Locations
Free Traders,,"The Free Traders are a small faction that runs farm shops in United Cities towns and operates a single trade caravan led by Harmothoe. They strictly forbid hemp production and related goods like biofuel distilleries, hemp farms, bloodrum, and hashish in their territories. Their caravan travels between towns such as Trader's Edge and Heng.",,,"Free Traders, Free_Traders",Factions
Item Furnace,,An Item Furnace is a building used to melt down items into raw iron. Weapons and metal armor can be burned to recover iron based on their weight or coverage. Many crafted items containing iron in their production chain also yield small amounts of raw iron when melted.,,,"Item Furnace, Item_Furnace",Buildings
Garru,,"Garru are common wild herbivores found across many regions, recognizable by their floppy ears, humped backs, and wrinkly skin. They travel in herds and are often tamed as pack beasts by traders and the Western Hive. Though generally peaceful, they become skittish if approached too closely and will attack if provoked, proving surprisingly tough in combat.",,,Garru,"Animals, Characters"
Gatwood the Soft,,"Gatwood the Soft was the legendary founder of modern martial arts who lived hundreds or thousands of years ago, possibly during the Second Empire. He trained Tinfist and was known for never taking a single life despite his mastery. His name suggests he may have been easygoing or carefree, and his teachings still influence martial artists today.",,,"Gatwood the Soft, Gatwood_the_Soft","Characters, Lore"
General Hat-12,,"General Hat-12 was the Chief of the Second Empire's police force. He is a skeleton who can be found in Ashland Dome IV, wearing armoured rags and carrying a heavy jitte. He was a member of the Second Empire and still exists in the ruins of that fallen civilization.",,,"General Hat-12, General_Hat-12, General Hat12","Characters, Unique"
General Jang,,"General Jang is a Skeleton who leads the Hydraulic Knights of the Second Empire and resides in Ashland Dome III. He is known for fighting pirates and cannibals, who call him 'The Inedible One.' Removing his AI Core or CPU will kill him instantly.",,,"General Jang, General_Jang","Characters, Unique"
Metal Purity,,Their products were better than rusted weapons from unknown makers but not as strong as higher-grade manufacturers. The company no longer operates in the current era.,,,"Metal Purity, Metal_Purity","Manufacturers, Removed Content"
Gi,,"A gi is a simple cloth garment worn on the torso, often paired with gi pants. It can be made at a clothing bench and is a basic piece of attire. A black variant called a ninja gi also exists.",,,Gi,"Armour, Body Armour, Clothing"
Gi Pants,,Gi pants are simple white legwear that form part of a traditional gi outfit when worn with the matching top. A black version exists called ninja pants. These pants are commonly associated with martial artists and are notably worn by the wanderer Crumblejon.,,,"Gi Pants, Gi_Pants","Armour, Clothing, Legwear"
Goat,,"Goats are small herbivores with bony faceplates that roam in groups across many regions and are often domesticated by Nomads. They can be hunted for meat and skin, but are tougher fighters than they appear and can surprise inexperienced hunters. Domesticated goats can be purchased from Nomad herders and will eat any type of food. They mature quickly and are relatively fast, though they cannot haul goods like other animals.",,,Goat,"Animals, Characters, Playable"
Gohan,,"Gohan is a filling meal made from rice and vegetables, commonly found in The Swamp where riceweed grows plentifully. It provides good nutrition and is often sold cheaply in swamper settlements. Unlike other cooked foods, it can be prepared without needing water for cooking.",,,Gohan,"Items, Nutrition"
Gorillo Bandit,,"Gorillo Bandits are unarmed members of The Gorrillo Bandits who roam the Bonefields and Flats Lagoon, harassing settlements and travelers. They are easily recognized by their unnaturally bulky arms and hunchbacked posture, and wear very little armor. Some are wanted by the United Cities and Shek Kingdom for their crimes.",,,"Gorillo Bandit, Gorillo_Bandit","Bounty, Characters"
Gorillos,,"Gorillos are wild animals found in various regions including Greyshelf, Sniper Valley, Sonorous Dark, Stobe's Gamble, Stobe's Garden, and The Crags. Black gorillos are the most common variety, while Great White Gorillos and War Gorillos are separate from the typical gorillo groups.",,,Gorillos,Factions
Gorrillo Leader,,"Gorrillo is an unusually large and dim-witted bandit leader wanted for robbery, assault, and destruction of property in the lost town of Mourn. He leads the Gorrillo Bandits and hides out in the Old Prison somewhere in the Forbidden Zone. His bounty can be claimed in the Shek Kingdom or United Cities, with Catun being the nearest collection point.",,,Gorrillo,"Bosses, Bounty, Characters, Unique"
Grand Fish,,"The Grand Fish is considered the king of the two known fish species in the world. It can be found in swampy regions and fishing villages. Unlike the smaller Thinfish, Grand Fish cannot be dried for preservation.",,,"Grand Fish, Grand_Fish","Items, Nutrition"
Grass Pirates,,"The Grass Pirates are a bandit faction that operates around The Eye and Stormgap Coast, constantly fighting with the United Cities over territory. They are hostile to travelers and can be recognized by their worn sleeveless dustcoats. Unlike most bandits, they are notably skilled in hand-to-hand combat.",,,"Grass Pirates, Grass_Pirates",Factions
Grayflayer Village,,"Grayflayer Village is a settlement deep in the Swamp, controlled by the Swampers but truly run by the Grayflayers under their leader Big Gray. The Grayflayer headquarters is located here. Travelers can find it by exploring the swamp or by reading a Map of the Swamps.",,,"Grayflayer Village, Grayflayer_Village",Locations
Grayflayers,,"The Grayflayers are one of five gangs operating in The Swamp, led by Big Gray. They control the city of Shark and Grayflayer Village, dealing primarily in hashish like the other swamp gangs. Their smugglers are commonly seen at the Smugglers Bar and in Grey Desert, though they are considered one of the smaller gangs compared to groups like the Hounds and Blackshifters.",,,Grayflayers,"Factions, Grayflayers, Swamp Gangs, Swampers, Swamps"
Great White Gorillo,,"The Great White Gorillo is a massive and exceptionally dangerous variant of the common gorillo, locked away in a laboratory building in the center of Mourn. It is far stronger and faster than ordinary gorillos, and killing it is considered a notable feat-so much so that bringing one of its claws to a bar will earn congratulations and free drinks. Its blood is a deep red, and it is known to be quite old and formidable.",,,"Great White Gorillo, Great_White_Gorillo","Animals, Characters, Unique"
Greenbeach,,"Greenbeach is a coastal zone controlled by the Crab Raiders, who sometimes clash with Reavers. The area is known for its large population of crabs and occasional sightings of beak things. It borders The Outlands, Stobe's Garden, and The Pits East, but has no major towns or ancient ruins.",,,Greenbeach,Zones
Greenfruit,,"Greenfruit is a vegetable used as a cooking ingredient, despite its misleading name. It cannot be eaten raw and must be processed at a cooking stove or turned into biofuel. It is grown on farms and can be purchased from trade goods traders or certain vendors.",,,Greenfruit,"Farming, Items"
Greenlander,,"Greenlanders are the most common type of human found throughout the world, especially in the Holy Nation territories. They have no particular strengths or weaknesses, making them adaptable to any role or environment. Unlike some other races, they require standard protective gear when traveling through harsh weather conditions.",,,Greenlander,Races
Grey Desert,,"The Grey Desert is a small, mostly empty zone bordered by some of the most polluted lands in the world, including the Deadlands, Venge, and the Black Desert. A single Tech Hunter waystation serves as the last resupply point before travelers head deeper into the wastes. Wandering groups of traders, nomads, bloodraiders, and occasional thralls from Venge pass through the area.",,,"Grey Desert, Grey_Desert",Zones
Greyshelf,,"Greyshelf is a highland zone in the southeast, separated from Royal Valley by mountains and bordering the Southern Hive's heartlands. The area is known for its gorillo populations and old armories, some claimed by the Southern Hive. Travelers should beware of acid rain that sometimes falls in this region.",,,Greyshelf,"Article stubs, Zones"
Grog,,"Grog is a traditional weak alcoholic drink made from wheatstraw and water. It's brewed in grog machines and stored in special barrels. Despite being alcohol, even skeletons are known to drink it in their bars and settlements.",,,Grog,Items
Gurgler,,"Gurglers are the most common type of Fishmen found roaming in large packs on Fishman Island, south of the Bonefields. They are not particularly skilled fighters but rely on overwhelming numbers to take down enemies. Like other Fishmen, they fight using their claws in unarmed combat.",,,Gurgler,"Characters, Fishmen"
Gurgler Egg,,"Gurgler eggs are creepy fishman eggs stolen from gurgler nests found on Fishman Island. These large eggs come from the gurglers, one of the fishman breeds that inhabit the dangerous coastal regions.",,,"Gurgler Egg, Gurgler_Egg","Fishmen, Items"
Gut,,"Gut is a dangerous region east of the desert known for its distinctive sky-blue sands and scattered iron trees. The area is infested with beak things, making travel extremely hazardous, though the creatures provide valuable resources for those brave enough to hunt them. The zone takes its name from the gutters that inhabit the area, and it lacks any major settlements or ancient ruins.",,,Gut,Zones
Gutters,,"The Gutters are a faction consisting entirely of Beak Things, dangerous predatory creatures found primarily in Gut and scattered across many harsh regions of the world. These beasts roam in squads and establish nests in desolate areas like the Bonefields, Cannibal Plains, and Venge. They are wild animals rather than an organized group, posing a deadly threat to travelers in their territories.",,,Gutters,Factions
Harpoon Turret,,"Harpoon Turrets are defensive installations used to guard outposts and buildings. They can be mounted on walls or placed freely, and their effectiveness depends on the operator's skill and the height advantage over targets. An upgraded version exists that can be fitted with a spotlight for nighttime defense.",,,"Harpoon Turret, Harpoon_Turret",Buildings
Hashish,,"Hashish is a narcotic drug made from hemp that is illegal in most towns throughout the world. Getting caught smuggling it can lead to arrest, but it remains popular in borderland areas where laws are less strictly enforced. It can be purchased in Hive Villages and The Swamp, or produced by processing hemp in illegal structures that may attract unwanted attention from authorities.",,,Hashish,Items
Head of Agriculture,,"The Head of Agriculture is a Skeleton who once served the Second Empire. They now reside in Ashland Dome I, surrounded by Legion Thralls. This ancient figure carries a legendary short cleaver and possesses a unique CPU core from their former role.",,,"Head of Agriculture, Head_of_Agriculture","Characters, Unique"
Heft,,"Heft is the capital of the United Cities, located in the Great Desert. It is home to Emperor Tengu, the leader of the United Cities, along with Lord Ohta and the diplomat Koin. The town features notable shops including an armory with high-quality armor, a thieves guild, and a robotics workshop.",,,Heft,"Locations, United Cities"
Heft (Alpha),,"Heft was an old town that sat on a cliff in the southeast, marked by a large metal cage at its center. It was once controlled by Dead Cat and located near Bark and Black Scratch. The town eventually became a major city in the United Cities.",,,"Heft (Alpha), Heft_(Alpha), Heft Alpha",Removed Content
Heft Armory,,Heft Armory is an armour shop run by the Tech Hunters in the town of Heft. The shop stocks various protective gear and restocks its inventory regularly. Its presence may change depending on events in the world.,,,"Heft Armory, Heft_Armory","Town Residents, Vendors"
Heft Armory,,Heft Armory is an armor shop run by the Tech Hunters in the town of Heft. The shop stocks various protective gear and restocks its inventory regularly. Its presence may change depending on events in the world.,,,"Heft Armory, Heft_Armory","Town Residents, Vendors"
Hemp,,"Hemp is a raw material grown on farms that is commonly used to make fabrics and clothing. It can also be processed into fuel or medical items. The United Cities consider it illegal because it can be turned into hashish, though other factions do not outlaw hemp itself.",,,Hemp,"Farming, Items"
Heng,,"Heng is a major United Cities settlement built on a rocky plateau, connected by a metal bridge to its satellite city, Trader's Edge, which houses the Traders Guild headquarters. It serves as the Empire's main trading hub and is heavily defended, with Lord Yoshinaga residing in the Noble House under guard. The town is supported by several slave camps and features a Thieves Guild and a Robotics Workshop for repairs.",,,Heng,"Locations, United Cities"
Heng (Zone),,"Heng is the heartland of the United Cities and home to the Traders Guild, centered around a major city of the same name. The zone is crowded with slave caravans, merchant convoys, mercenaries, bounty hunters, and manhunters all seeking profit, as well as escaped slaves and rebels trying to survive. It is a dangerous land of opportunity where fortunes can be made or lost, and strangers are often targeted by opportunists on all sides. The region experiences great desert conditions and borders zones like Howler Maze, Gut, The Eye, Skimsands, and The Great Desert.",,,"Heng (Zone), Heng_(Zone), Heng Zone",Zones
Hidden Forest,,"Hidden Forest is a sparse, rocky forested region known as the hideout of the Flotsam Ninjas. The area is infested with Cannibals and dangerous creatures, with locals whispering that it lies near the mouth of the abyss where demons and unholy monsters emerge. The northern areas near the coast have better water and soil, while the south is mostly barren rock.",,,"Hidden Forest, Hidden_Forest",Zones
High Bonefields,,"The High Bonefields is a mountain range located north of Catun. It is a barren, uninhabited region with no settlements or ancient ruins. The area experiences dry boneyard conditions and is known for its desolate terrain.",,,"High Bonefields, High_Bonefields","Article stubs, Zones"
High Inquisitor Seta,,High Inquisitor Seta is a high-ranking member of the Holy Nation's Inquisition and serves as part of the Holy Lord Phoenix's command. He governs the southern cities of Stack and Bad Teeth and commands the forces defending against the Shek Kingdom along the southern border. His death or capture severely weakens the Holy Nation's southern front and can trigger major shifts in territorial control across multiple regions.,,,"High Inquisitor Seta, High_Inquisitor_Seta","Bosses, Bounty, Characters, Holy Nation, Inquisitors, Superbosses, Unique"
High Inquisitor Valtena,,"High Inquisitor Valtena is a powerful commander of the Holy Nation's Inquisition, stationed at Okran's Shield and leading the northern and eastern military campaigns against the United Cities in Bast and Skimsands. He commands vast forces and can personally lead the Wrath of God event against enemies of the Holy Nation. His death would trigger the collapse of the northeastern front, causing widespread chaos and shifts in territorial control across multiple regions.",,,"High Inquisitor Valtena, High_Inquisitor_Valtena","Bosses, Bounty, Characters, Holy Nation, Inquisitors, Superbosses, Unique"
High Overseer,,"High Overseers are the commanding authority figures who run the Holy Nation's mines. They oversee daily operations, keep the Lower Servants in line, and command the garrison of Slavers, Paladins, and Holy Sentinels stationed at the mine. They dress similarly to High Paladins but do not wear helmets or carry a Paladin's Cross. Killing a High Overseer does not shut down the mine itself.",,,"High Overseer, High_Overseer",Characters
High Paladin,,"High Paladins are elite squad leaders and bodyguards in the Holy Nation army, often commanding patrols of Paladins and Holy Servants. They hold senior rank and do not answer to the priestly caste, though they report to their own commanders and inquisitors. High Paladins enforce Holy Nation law in their lands, sometimes giving aid to human men but demanding non-humans surrender as slaves or face hostility.",,,"High Paladin, High_Paladin","Characters, Holy Nation, Paladins"
Hive,,"Hivers are stick-like humanoids who live under collective hive minds ruled by queens and princes, hatching from eggs through the queen's parthenogenesis. When separated from their hive too long, they lose their mental bond and become Hiveless, gaining free will but feeling purposeless and often seeking new masters or turning to crime. The two main hives are the Western Hive, which is large and trades peacefully with outsiders, and the smaller, violent Southern Hive in the southeast. Hivers completely cut off from their queen can become corrupted into insane, cannibalistic Fogmen.",,,Hive,"Hivers, Races"
Hive Bandit,,Hive Bandits are members of the Western Hive who turn to banditry after their Hive Queen is killed or kidnapped. They roam in small groups led by a Hive Bandit Leader across western and some eastern regions. They wear ragged armor and carry bladed weapons or polearms.,,,"Hive Bandit, Hive_Bandit",Characters
Hive Prince,,"Hive Princes are a rare subrace of Western Hivers who evolved to be more independent and can remain separated from the main Hive for long periods. They are the most intelligent of all Hiver breeds and do not eat Foul Raw Meat like other Hivers. Free Princes are uncommon because of their independent nature, though versions exist among the Dead Hive and Southern Hive as well.",,,"Hive Prince, Hive_Prince","Hivers, Races"
Hive Queen,,"Hive Queens are the rare rulers of the Hiver race, distinguished by their six antennae and the metal dispenser units fused to their bodies. Only two are known to exist: the Queen of the West and the Queen of the South. Despite their organic appearance, their bodies are partly mechanical and cannot be healed with ordinary bandages.",,,"Hive Queen, Hive_Queen","Hivers, Races"
Hive Village,,"Hive Villages are settlements of the Western Hive found in the regions of Vain and Dreg. They are inhabited by worker drones who labor and flee from danger, soldier drones who guard the village with polearms, and hive princes who act as traders. The villagers refuse to trade with hiveless individuals, and if the Queen dies, these villages fall to Fogmen or potentially Slave Traders.",,,"Hive Village, Hive_Village",Locations
Hive Worker Drone,,"Hive Worker Drones are a subrace of the Western Hive, known for their skills in thievery and building. They have weaker limbs that are prone to injury, often requiring replacement with robotic parts. They are immune to certain weather conditions and have restrictions on what equipment they can wear.",,,"Hive Worker Drone, Hive_Worker_Drone","Hivers, Races"
Holy Citizen,,Holy Citizens are Greenlander residents of Holy Nation cities and the free populace alongside farmers. They rank above the slave castes and react with surprise to seeing unshackled Shek or other non-humans. They typically purchase rice bowls and cactus rum for their daily needs.,,,"Holy Citizen, Holy_Citizen","Characters, Disambiguations"
Holy Edict,,"The Holy Edict is a decree from Holy Lord Phoenix LXII condemning foreign women for wearing jewelry made of gold, silver, and iron. It declares that such materials should be used for tools to maintain order, not for vanity, and orders that any woman wearing jewelry without a guardian be flogged until she repents. The edict reflects the Holy Nation's strict religious laws and their hostility toward outsiders, particularly those from more luxurious societies.",,,"Holy Edict, Holy_Edict",Books
Holy Farms,,"Holy Farms are scattered agricultural settlements throughout Holy Nation territory that supply food for the faction. They are worked by Holy Farmers and their wives, growing crops like wheat, greenfruit, cotton, and occasionally cactus. If Phoenix dies and Esata lives, the farmers complain about Shek raiders demanding tribute, though the farms remain under Holy Nation control.",,,"Holy Farms, Holy_Farms","Holy Nation, Locations"
Holy Farm Leader,,"Holy Farm Leaders are Greenlander men who run Holy Farms in Holy Nation territory. They wear turbans and white vests and carry iron clubs. Unlike most Holy Nation traders, they will trade with non-humans as long as they have no robotic limbs, selling domesticated animals like bulls and dogs along with farm goods.",,,"Holy Farm Leader, Holy_Farm_Leader","Characters, Traders"
The Holy Flame,,"The Holy Flame is the religious book of the Holy Nation, and every citizen is required by law to own one. Carrying it can help avoid trouble with Paladins and Inquisitors, and it is necessary for observing Prayer Day. The book is commonly found throughout Holy Nation territory.",,,"The Holy Flame, The_Holy_Flame","Books, Holy Nation, Items"
Holy Lord Phoenix,,"Holy Lord Phoenix is the 62nd reincarnation of the Lawgiver and supreme leader of the Holy Nation, ruling from his throne room in Blister Hill surrounded by High Paladins and his bodyguard. Raised in isolation and indoctrinated from childhood, he sentenced his own family to death at age sixteen and has dedicated his life to eradicating the Shek Kingdom. His death causes mass panic and chaos throughout the Holy Nation, potentially leading to the collapse of Blister Hill itself.",,,"Holy Lord Phoenix, Holy_Lord_Phoenix","Bosses, Bounty, Characters, Holy Nation, Superbosses, Unique"
Holy Mines,,"Holy Mines are mining outposts scattered across Holy Nation territory where slaves and captured enemies are forced to work under the watch of overseers and guards. Lower Servants and bandits are caged at night and sent to labor during the day. These sites are guarded by Holy Sentinels and Paladins, with additional slavers sometimes present to help manage the operations.",,,"Holy Mines, Holy_Mines","Holy Nation, Locations"
The Holy Nation,,"The Holy Nation is a large democratic farming society guided by the faith of Christianism, centered around Christian's Pride and led by an elected figurehead called the Phoenix. They claim to value freedom, equality, and moral governance, welcoming all visitors and resolving conflicts through peaceful means. The nation has faced repeated raids and border wars but maintains its territory through citizen militias and careful diplomacy. Their records are among the oldest on the continent, dating back to the fall of the First Empire.",,,"The Holy Nation, The_Holy_Nation","Factions, Holy Nation"
Holy Priest,,Holy Priests are high-ranking religious figures of the Holy Nation who devote themselves to the god Okran and typically remain near temples. They lead prayer ceremonies and may lecture female characters or call Paladins to deal with non-human races they view as threats. Freeing a Holy Priest from slavery earns favor with the Holy Nation.,,,"Holy Priest, Holy_Priest",Characters
Holy Seal,,The Holy Seal is a blessed token given by the Holy Lord Phoenix to those who pledge to destroy his enemies and maintain good standing with the Holy Nation. It can be shown to paladins for aid and assistance. The seal is a mark of favor from the Phoenix himself and carries significant value as a holy relic.,,,"Holy Seal, Holy_Seal","Items, Unique"
Horse Chopper,,"The Horse Chopper is a classic sabre with a heavy, curved blade designed for cutting and defending. It's very common across the wasteland and often wielded by Dust Bandits, Red Sabres, and other bandit groups.",,,"Horse Chopper, Horse_Chopper","Sabre, Weapons"
